time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1717861991.45204616,0.01388704,9055,0.00194812,0.00000000,0,0.00000000,2540,3584,1512,0.00000000
1717861991.55292010,0.00866445,9113,0.00233023,0.00000000,0,0.00000000,3584,4082,1307,0.00353353
1717861991.65375948,0.00785610,9124,0.00150048,0.00000000,0,0.00000000,4082,4651,966,0.00181275
1717861991.75527549,0.00746171,9098,0.00129960,0.00000000,0,0.00000000,4651,5147,882,0.00164470
1717861991.85683537,0.00868412,9122,0.00170115,0.00000000,0,0.00000000,5147,5323,810,0.00146301
1717861991.95768309,0.00787479,9198,0.00110834,0.00000000,0,0.00000000,5323,5634,723,0.00149091
1717861992.05992222,0.00774782,9125,0.00107258,0.00000000,0,0.00000000,5634,5955,695,0.00102276
1717861992.16073656,0.00808456,9112,0.00148824,0.00000000,0,0.00000000,5955,6083,599,0.00132663
1717861992.26158595,0.00801482,9106,0.00141525,0.00000000,0,0.00000000,5784,5976,512,0.00144183
1717861992.36315274,0.00781120,8937,0.00059032,0.00000000,0,0.00000000,5715,6007,413,0.00167618
1717861992.46403074,0.00785283,8996,0.00064934,0.00000000,0,0.00000000,6007,6256,428,0.00092796
1717861992.56486917,0.00775418,9105,0.00075663,0.00000000,0,0.00000000,6256,6545,496,0.00128314
1717861992.66708350,0.00786923,8887,0.00070827,0.00000000,0,0.00000000,6545,6702,437,0.00096311
1717861992.76793289,0.01502778,9100,0.00071209,0.00000000,0,0.00000000,6702,6845,408,0.00156317
1717861992.86884713,0.00760988,9041,0.00074353,0.00000000,0,0.00000000,6845,6989,398,0.00155713
1717861992.97035718,0.00448890,9041,0.00036717,0.00000000,0,0.00000000,6989,7001,177,0.00146204
1717861993.07054043,0.00734522,9121,0.00060839,0.00000000,0,0.00000000,7001,7145,356,0.00189948
1717861993.17212200,0.00779108,9124,0.00058479,0.00000000,0,0.00000000,7145,7180,319,0.00167519
1717861993.27427936,0.00860556,9112,0.00066578,0.00000000,0,0.00000000,7180,7225,315,0.00116200
1717861993.37444305,0.00977402,9125,0.00097799,0.00000000,0,0.00000000,7225,7293,294,0.00122751
1717861993.47600174,0.00887226,9137,0.00079187,0.00000000,0,0.00000000,7293,7282,273,0.00156758
1717861993.57819867,0.00989912,9021,0.00077051,0.00000000,0,0.00000000,7282,7434,275,0.00199886
1717861993.67836642,0.00997758,9119,0.00072458,0.00000000,0,0.00000000,7434,7449,294,0.00168842
1717861993.77926588,0.00947449,9068,0.00049194,0.00000000,0,0.00000000,7449,7529,216,0.00188899
1717861993.88079548,0.01009514,9011,0.00080130,0.00000000,0,0.00000000,7529,7710,281,0.00192753
1717861993.98099971,0.00910916,9131,0.00078876,0.00000000,0,0.00000000,7710,7750,254,0.00193064
1717861994.08188534,0.01082717,9095,0.00090600,0.00000000,0,0.00000000,7750,7747,238,0.00176013
1717861994.18339109,0.01139228,9120,0.00098176,0.00000000,0,0.00000000,7747,7756,248,0.00193463
1717861994.28357029,0.00832582,9131,0.00048826,0.00000000,0,0.00000000,7756,7778,213,0.00149641
1717861994.38512349,0.00881990,9104,0.00047116,0.00000000,0,0.00000000,7778,7816,232,0.00099982
1717861994.48665857,0.00758151,9107,0.00042784,0.00000000,0,0.00000000,7816,7916,215,0.00158325
1717861994.58682036,0.00771500,9147,0.00048132,0.00000000,0,0.00000000,7916,7887,213,0.00178768
1717861994.68839765,0.00711366,9142,0.00034393,0.00000000,0,0.00000000,7887,7956,188,0.00138301
1717861994.78993821,0.00695929,9137,0.00045671,0.00000000,0,0.00000000,7956,7987,232,0.00093027
1717861994.89076161,0.00773126,9110,0.00028175,0.00000000,0,0.00000000,7987,8071,156,0.00166054
1717861994.99166226,0.00669721,9071,0.00045451,0.00000000,0,0.00000000,8071,8066,218,0.00157691
1717861995.09181690,0.00613482,9108,0.00033187,0.00000000,0,0.00000000,8066,8119,175,0.00165981
1717861995.19270086,0.00728792,9132,0.00043555,0.00000000,0,0.00000000,8119,8141,183,0.00165333
1717861995.29490256,0.00763224,9138,0.00031117,0.00000000,0,0.00000000,8141,8224,177,0.00126890
1717861995.39510155,0.00727944,9129,0.00039033,0.00000000,0,0.00000000,8224,8293,205,0.00184785
1717861995.49661040,0.00637530,9095,0.00036531,0.00000000,0,0.00000000,8293,8316,188,0.00209670
1717861995.59815145,0.00731564,9165,0.00024658,0.00000000,0,0.00000000,8316,8384,142,0.00143164
1717861995.69833469,0.00575905,9124,0.00025382,0.00000000,0,0.00000000,8384,8381,128,0.00145263
1717861995.80057144,0.00705552,9063,0.00027773,0.00000000,0,0.00000000,8381,8424,154,0.00154167
1717861995.90205216,0.00740382,9150,0.00023892,0.00000000,0,0.00000000,8424,8477,132,0.00138359
1717861996.00230408,0.00706172,9127,0.00028718,0.00000000,0,0.00000000,8477,8519,156,0.00194232
1717861996.10449076,0.00761516,9097,0.00030747,0.00000000,0,0.00000000,8519,8571,156,0.00098568
1717861996.20536852,0.00693054,9144,0.00024739,0.00000000,0,0.00000000,8571,8583,133,0.00183121
1717861996.30553222,0.00819390,9119,0.00027072,0.00000000,0,0.00000000,8583,8637,141,0.00134848
1717861996.40642381,0.00803656,9128,0.00026838,0.00000000,0,0.00000000,8637,8671,139,0.00153270
1717861996.50796652,0.00758128,9176,0.00023558,0.00000000,0,0.00000000,8671,8733,137,0.00111709
1717861996.60811877,0.00752774,9129,0.00032704,0.00000000,0,0.00000000,8733,8735,154,0.00190740
1717861996.71030283,0.00654543,9108,0.00026719,0.00000000,0,0.00000000,8735,8783,151,0.00089688
